FID,Lat,Lng,Perception Safety,Rural/Urban,Q2 Enclosure,Q3 Human scale,Q4 Diversity/Complexity,Q5 Averall/Better
0,55.67767,12.554322,5.71658239,1,5.094833224,5.471395666,5.821432239,5.248262348
1,55.677611,12.554818,7.34860716,1,4.681345832,4.977243667,6.940972384,4.843426501
2,55.677552,12.555315,7.193916788,1,7.617178984,4.743561481,7.486739464,5.473047915
3,55.677495,12.555811,7.843094295,1,5.931981687,5.056191835,5.621631021,6.589951198
4,55.678435,12.54728,6.682250919,1,5.352808662,4.969684405,6.137725371,5.417775806
5,55.680622,12.546537,6.914699504,1,5.805174043,6.450606246,6.815243918,5.504288672
6,55.680135,12.546424,6.114793098,1,3.849647555,3.966110119,3.307429372,4.878734102
7,55.679663,12.546265,7.546099501,1,6.60235448,5.343883361,7.023433778,5.253068619
8,55.679204,12.546068,7.403610964,1,5.723421263,4.403014528,7.34022589,4.980590062
9,55.677457,12.546576,6.401987471,1,5.352808662,4.917997467,6.096417639,5.368973676
10,55.67757,12.546089,8.483273183,1,6.059516023,5.926792324,3.551269629,5.994158533
11,55.677684,12.545602,8.188264597,1,6.035171863,6.25755272,5.3516403,5.958666075
12,55.677798,12.545115,7.589795411,1,5.97812659,5.663218705,4.361850249,6.443175096
13,55.677913,12.544628,8.188016023,1,5.127170991,6.173136493,6.560091703,5.986579414
14,55.678028,12.544142,6.648619464,1,5.310297217,5.541915022,5.596063274,5.875110914
15,55.678145,12.543656,8.056051455,1,6.219388126,5.79868166,4.529054144,6.406018929
16,55.678263,12.54317,7.804451659,1,6.315674733,5.644715982,4.960994466,6.269409938
17,55.678381,12.542684,6.338850365,1,6.165612964,4.871156834,4.001379108,6.181048506
18,55.677351,12.545013,7.231745106,1,5.565002543,4.939414318,5.950444983,6.064034309
19,55.676951,12.544713,7.573719936,1,4.433180728,5.568473849,6.435808915,6.289929015
20,55.67655,12.544414,7.75246291,1,5.600247075,5.108101986,4.956189248,6.117642709
21,55.67615,12.544114,7.286098529,1,5.255432018,4.972439393,7.078070246,5.148070098
22,55.671552,12.545666,5.852833778,1,5.964319454,6.419813772,5.757665675,4.350968648
23,55.671894,12.545308,6.047263231,1,6.276070053,5.893684188,5.728853613,4.551538007
24,55.67229,12.545002,5.993174031,1,5.886926822,5.91948337,5.205273868,4.421029281
25,55.672684,12.544694,6.110131584,1,5.617324322,6.141897161,6.066406745,4.979480923
26,55.673143,12.544501,6.164635426,1,3.276651406,4.912205844,6.76709707,4.53527063
27,55.673549,12.544217,6.015159691,1,3.678875082,3.835655442,3.143068012,4.897589471
28,55.673896,12.54405,5.876128079,1,4.89135964,4.985787262,6.625248285,4.961364981
29,55.674341,12.544279,7.116887388,1,5.127897682,4.882293131,6.597874666,5.119047619
30,55.674785,12.544508,5.960251352,1,3.55606424,4.479504836,5.991405899,4.526582372
31,55.67523,12.544737,6.321344747,1,4.527287261,4.844321521,4.324976352,6.104887607
32,55.676383,12.54164,5.675132674,1,3.340963593,3.819891815,5.107629347,4.558377699
33,55.675943,12.541402,7.229743829,1,5.820797907,5.927464909,6.884976118,5.504288672
34,55.675503,12.541165,7.273729144,1,5.694716954,6.022644054,6.854351198,5.424985211
35,55.675064,12.540927,5.919155207,1,6.482813749,5.454273451,5.427743754,4.95230701
36,55.674624,12.540689,7.416231141,1,5.745222004,5.231123377,3.679108501,6.198979592
37,55.674184,12.540451,5.930701588,1,4.536370903,5.422402028,5.193827125,5.191696244
38,55.673478,12.540109,6.945794675,1,4.855751762,4.404827357,3.405489909,6.437814256
39,55.672993,12.53999,5.721890083,1,4.643557881,4.577624955,6.691292693,4.310485063
40,55.672507,12.539871,6.139823084,1,4.089819054,4.742868506,4.649288661,4.985950902
41,55.672021,12.539752,6.056413056,1,3.905239445,4.45452457,6.861647146,4.85581189
42,55.671536,12.539633,6.238064748,1,4.139960759,4.45206792,5.986461524,4.383503401
43,55.67105,12.539514,6.578637122,1,5.828064821,4.979818763,6.533067062,5.267857143
44,55.670565,12.539395,6.86955347,1,5.106823632,5.165182543,5.349232175,6.553349601
45,55.670181,12.539442,5.714852001,1,3.80204927,3.387413748,3.988634034,4.886867791
46,55.66978,12.539741,6.421082729,1,5.795363709,6.424384337,5.502167145,5.389123041
47,55.669338,12.539959,5.806515679,1,5.332097958,6.440389343,5.72416115,4.47149512
48,55.66884,12.54,4.747214294,1,5.455998837,5.485567521,5.799956181,5.415557527
49,55.668341,12.540005,6.407153111,1,4.234067292,4.691390447,4.189856337,5.691918072
50,55.667858,12.539942,6.815627879,1,4.026596904,4.356427636,6.87841027,4.85581189
51,55.667418,12.539705,5.822728418,1,3.905239445,3.438828643,6.857277104,4.373706004
52,55.666977,12.539469,5.228732155,1,3.092435143,3.860346094,5.824275507,4.785011831
53,55.666537,12.539232,5.01334499,1,4.147227673,3.751076484,5.809621474,4.813294883
54,55.666097,12.538995,6.417653115,1,3.597485648,4.599239055,6.442015249,4.863206152
55,55.665657,12.538757,6.57213332,1,3.896882494,4.692901902,5.337190755,5.614463176
56,55.665217,12.538519,7.094310796,1,4.793982995,6.235218544,4.842139827,5.923728187
57,55.664777,12.538281,7.372755484,1,6.076956616,6.435811276,4.941369467,5.499482402
58,55.664338,12.538042,5.08462727,1,3.606205944,4.429086243,5.522946135,4.729370009
59,55.663902,12.537798,6.809969284,1,5.617324322,5.487810935,6.115423133,5.147515528
60,55.663468,12.53755,3.851650638,1,2.256376717,3.184544177,5.707204004,4.720496894
61,55.667528,12.544283,5.073324833,1,3.492478744,3.832224647,2.030532325,5.046214138
62,55.667644,12.543796,8.195562439,1,5.677639706,6.263968329,8.124611973,6.370711328
63,55.667761,12.54331,6.026628083,1,4.034590509,5.361787871,4.346900143,5.434782609
64,55.667877,12.542824,7.269296997,1,5.47598285,4.936794832,5.197421199,6.271073647
65,55.667993,12.542337,7.113151787,1,5.374246058,5.502643433,5.230030308,6.215431825
66,55.668109,12.541851,6.767145178,1,4.619940411,5.246866207,4.477081157,6.147589471
67,55.668225,12.541365,7.535520313,1,4.538550977,5.996995781,4.184038544,6.194727891
68,55.66834,12.540878,6.862374067,1,5.167139016,4.59057963,7.273745167,5.415557527
69,55.668451,12.54039,6.763224611,1,6.108931037,5.758251601,6.108417756,4.964322686
70,55.66785,12.540847,7.899451439,1,6.390160599,7.054466986,6.78550425,5.576013014
71,55.667404,12.54062,7.54161432,1,6.160162779,6.41380714,5.58710471,5.781388642
72,55.666958,12.540393,7.816019639,1,6.239735484,7.315510211,5.26802602,6.132800946
73,55.666513,12.540166,5.072443975,1,4.552721459,4.038366777,6.082488866,4.573351079
74,55.680311,12.543233,8.493345223,1,6.893394376,5.566491874,5.31210045,5.694875776
75,55.680197,12.54372,6.885623995,1,5.501053702,6.160284175,6.481847121,5.088546288
